Date,Close/Last,Volume,Open,High,Low
07/20/2023,$107.51,6547861,$104.80,$108.48,$104.55
07/19/2023,$108.17,6390121,$105.24,$108.77,$105.19
07/18/2023,$106.88,6504405,$103.98,$107.44,$103.80
07/17/2023,$104.39,6717200,$104.64,$106.84,$103.48
07/14/2023,$104.03,7980491,$103.50,$104.86,$103.235
07/13/2023,$102.74,5279673,$99.19,$102.76,$99.11
07/12/2023,$98.18,5033356,$99.60,$100.44,$97.87
07/11/2023,$98.47,7890437,$93.80,$98.86,$93.545
07/10/2023,$93.37,1984551,$91.57,$93.97,$91.57
07/07/2023,$91.91,1922380,$91.21,$92.88,$91.13
07/06/2023,$92.02,3348195,$91.29,$92.13,$89.47
07/05/2023,$92.91,2519131,$93.99,$94.129,$92.395
07/03/2023,$94.76,1975514,$93.21,$95.33,$93.08
06/30/2023,$92.97,3532825,$93.22,$94.15,$92.96
06/29/2023,$92.81,2761388,$91.54,$92.95,$91.29
06/28/2023,$91.29,2200221,$90.94,$91.5131,$90.18
06/27/2023,$91.33,3022687,$89.83,$92.03,$88.78
06/26/2023,$88.78,2064764,$87.59,$91.37,$87.59
06/23/2023,$87.84,2867714,$88.03,$88.95,$87.7004
06/22/2023,$89.14,2344794,$88.64,$89.42,$87.40
06/21/2023,$89.13,2163604,$90.36,$90.54,$89.09
06/20/2023,$90.62,2859410,$90.22,$90.90,$89.10
06/16/2023,$91.13,5653104,$92.77,$92.80,$91.01
06/15/2023,$92.65,3218304,$90.00,$93.17,$89.983
06/14/2023,$90.29,3023772,$91.00,$92.01,$89.54
06/13/2023,$90.67,3032935,$90.11,$91.8825,$89.6801
06/12/2023,$89.89,2896367,$88.68,$89.99,$87.83
06/09/2023,$88.19,2548464,$88.85,$89.43,$87.6083
06/08/2023,$88.66,2964066,$86.98,$88.80,$86.17
06/07/2023,$87.30,2876583,$87.90,$88.33,$86.88
06/06/2023,$87.40,3778147,$85.53,$87.75,$85.10
06/05/2023,$85.52,5631273,$85.16,$86.69,$83.43
06/02/2023,$89.00,8033979,$88.75,$91.09,$88.45
06/01/2023,$87.14,4653845,$86.07,$87.98,$84.11
05/31/2023,$85.64,13707830,$85.88,$86.51,$82.54
05/30/2023,$86.40,3666415,$86.58,$86.93,$85.07
05/26/2023,$85.70,3154011,$83.30,$86.0637,$82.875
05/25/2023,$83.53,2718140,$83.70,$84.19,$81.94
05/24/2023,$83.16,2593083,$82.91,$83.58,$81.06
